Locus_tag,Gene_name,Gene_type,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b0001,thrL,CDS,0.01093501362696008,-0.00257524119925819,0.11679668774652666,0.01749228514329849,-0.008760430310397626,-0.055813068202305756,-0.05027316238547868,-0.0647245610356537,0.03144629346382262,-0.010001630598115287,0.11245252300511446,0.09960895504316339,0.26289730142734336,0.023412862570011666,0.0035340675269936285,-0.010137034951218277,-0.020182384373515598,-0.0514692751381088,0.020790104359800853,-0.03652787253681822
b0002,thrA,CDS,0.16614483133532157,0.11213091361107297,-0.0943181285492228,-0.1097993581925542,-0.07344497401084923,-0.11093579934513985,-0.10712641168409764,-0.1025892739640251,-0.08883285899792225,-0.08805624182456283,-0.09053753540765799,-0.08693563895221496,-0.11337201071651518,-0.1009205372515899,-0.11727417553435776,-0.11558155330761911,-0.07944717466115121,-0.09856201694138308,-0.09127350136945116,-0.09598783087085715
b0003,thrB,CDS,0.1044711686583117,0.07876575912442584,-0.09640210982158987,-0.11220788532451668,-0.06963099130891555,-0.11048763639002235,-0.10471651198839727,-0.09773069616364281,-0.08944644273130509,-0.09021586679819402,-0.09134532133918612,-0.086319345565855,-0.10647481221883727,-0.09990159719743602,-0.11489924678715217,-0.11209947886291055,-0.07483582398495357,-0.09909875055854958,-0.08881306916079171,-0.08891298774812732
b0004,thrC,CDS,0.11724515716861436,0.09041563851801802,-0.09346340811954232,-0.10590896341373301,-0.05932827847474005,-0.10455718721234747,-0.09371973200651822,-0.09388340049014839,-0.08365269834491416,-0.0815489694681186,-0.0842913354587528,-0.07928815626414135,-0.09577039393608539,-0.09813375197654492,-0.10704501814460791,-0.10522768155611377,-0.06886813672952358,-0.09200912922781741,-0.07353492454736905,-0.055558359697003505
b0005,yaaX,CDS,-0.07672950599162658,-0.07062045552101882,-0.11005391015447744,-0.13304919217185546,-0.08639860903917851,-0.12685378635567485,-0.1246652694801612,-0.12227179778965072,-0.14345491270102625,-0.13582711784384893,-0.12794418888677003,-0.11753020348936916,-0.1415978048746315,-0.12698332034573367,-0.14403382655830332,-0.14087819098037935,-0.08609859888547662,-0.11619507398758513,-0.109291852234517,-0.14937959653648336
b0006,yaaA,CDS,-0.07289065149110348,-0.06484291004814381,-0.09818498997761872,-0.11200312770457874,-0.08904710008678594,-0.11565693032913751,-0.11609645054073832,-0.10675236490679073,-0.12165558551856287,-0.12362544972359941,-0.060911303151022306,-0.036716995533599465,-0.1129862912781309,-0.10701272620695199,-0.09375743316879892,-0.09649695883248141,-0.09026832908318093,-0.1022746651910192,-0.09208405640930525,-0.12492136957304414
b0007,yaaJ,CDS,-0.08880272446522564,-0.07975009966338382,-0.11956712366129804,-0.1410518024844306,-0.10112066006533198,-0.13961888464096886,-0.1349647524676473,-0.1282049396483118,-0.1563794753981549,-0.15224864488693332,-0.13401688328153896,-0.12220627163606446,-0.14932979033202426,-0.13539478090423485,-0.142336742057696,-0.14122870721441572,-0.10119601476098754,-0.12156645443838922,-0.11037090010594422,-0.15749095171951316
b0008,talB,CDS,0.1846240065725817,0.160097659757117,0.3952717216990328,0.39948075062601457,0.17028573316026072,0.32454473469401157,0.32786886901510115,0.34520657469945976,0.42789635453465213,0.412409513282745,0.31635841110107493,0.2822310501546794,0.6445512006216393,0.49969888278114044,0.5165116086830857,0.5148299393886038,0.1578269859328683,0.25435218030592954,0.41608826467300725,0.6839556683195477
b0009,mog,CDS,-0.0714663564074846,-0.06843728799031833,-0.06919736974748297,-0.07904436991321935,-0.06585639318103295,-0.10063658156545574,-0.0989884848744199,-0.09449471623513832,-0.09749945628545452,-0.09545590359318801,-0.09626067648823303,-0.08754903622303747,-0.08514410495563399,-0.06898764996930519,-0.08976387738852759,-0.09467371470893098,-0.06641840207963552,-0.0932703665650343,-0.08202629237615384,-0.10349409561686573
b0010,satP,CDS,-0.08272924368410166,-0.07557409980524984,-0.0879690188934534,-0.11342396183010975,-0.08850933047073054,-0.08430848936173123,-0.10156480697951288,-0.09690557350482727,-0.1365810280295343,-0.1382103726224419,-0.1112342693653399,-0.09878248916952684,-0.1438966364179947,-0.1054827388191358,-0.14288523750645538,-0.14101741798751155,-0.08460958246950395,-0.07315181111081252,-0.10437380812005077,-0.1560528796419173
b0011,yaaW,CDS,-0.09122992555446965,-0.08185288659031419,-0.1226109000493473,-0.1432450716056891,-0.10598149447012939,-0.14294172095826757,-0.14000322316441272,-0.13372767053445705,-0.15822095445563844,-0.15392338364853622,-0.1375372029312119,-0.1251388782292415,-0.15138719529260314,-0.1369922770139052,-0.15312994502490718,-0.15072272976106935,-0.10545920192398703,-0.12555815794861894,-0.12263978157558006,-0.17002811124189812
b0012,mbiA,CDS,-0.09215529596974394,-0.08287281028909577,-0.12350855422169515,-0.1430508143765172,-0.10599219151493339,-0.1435027448625508,-0.1412720327740066,-0.1342277821087503,-0.1591700804204442,-0.15485055991926677,-0.1385439164760904,-0.12613514197410908,-0.15342348422553326,-0.13792036420874132,-0.15424531334725552,-0.15275516421191895,-0.10571342423890917,-0.12637452458054171,-0.1232218920843688,-0.17189446161582717
b0013,yaaI,CDS,-0.09223493850548475,-0.08269005816165609,-0.1234978207860283,-0.14369002566440042,-0.10577338832576075,-0.1430932958376704,-0.14094047805141827,-0.13435926107299942,-0.15874210030747965,-0.15500887562246193,-0.13798590227634086,-0.12634482073901723,-0.15278366858777542,-0.1379462320367415,-0.15407850287572564,-0.1522080510482135,-0.1056456316215966,-0.12602440555793362,-0.12293365713282708,-0.17134752272729892
b0014,dnaK,CDS,-0.01610889462052308,-0.014360478496368985,0.22945256883501625,0.35253350351100915,-0.030128263535687934,0.08056101615185265,0.05677127945126847,0.05472776431074596,0.06973886785679088,0.05553539103758113,0.07785500706916085,0.08651735436787447,0.23658461937420597,0.328992038426806,0.08053265026675259,0.08626542390680733,-0.02034121279121935,0.03992392260001594,-0.0023042275794800922,0.031023009355104363
b0015,dnaJ,CDS,-0.0578841436455899,-0.048441854494911445,0.006750726278079303,0.02954804629156858,-0.05745824055127793,-0.057289446897788,-0.07597639396325524,-0.07470406017723308,-0.043146709796290775,-0.052877498664348474,-0.043406308727671095,-0.035811090593498955,-0.020927449405358834,0.040168905887793996,-0.06286215473416883,-0.05466798860427343,-0.05633763988525532,-0.06704437185670367,-0.07328448165405296,-0.09056952104843993
b0016,insL-1,CDS,-0.07664480678694983,-0.06917398380694754,-0.0756747157135878,-0.0864878344175024,-0.08989216662630159,-0.11826323085289552,-0.11946682685498738,-0.11124538203554588,-0.1256063951328003,-0.12365597696681642,-0.1077667004885362,-0.0985201011018379,-0.11821532359155566,-0.0761391580274068,-0.12122532187271473,-0.12181318623488839,-0.08840984290285471,-0.10863631627672467,-0.10136003249169971,-0.1353839333113564
b0018,mokC,CDS,-0.08473084180457198,-0.07545694128371694,-0.1153579221268966,-0.13586264062273373,-0.10119748429619703,-0.13984001336113663,-0.13679862421145783,-0.12800342048815433,-0.15491429858285274,-0.15100199746625734,-0.1323638138811419,-0.12147413362820828,-0.14781154794407741,-0.13078462921649348,-0.14718696856463792,-0.14242088219006035,-0.09961305714673886,-0.12143472648928917,-0.11426009773976055,-0.16431354285486144
