Locus_tag,Gene_name,Gene_type,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b0001,thrL,CDS,-0.03713806212058052,-0.32005769356162656,1.5251327021742425,-0.031054883923326518,-0.4170515504709705,-0.9963533014657356,-0.9348129674872635,-1.171668077664727,0.11195164898087337,-0.3831015403331698,1.2675222027498976,1.2246029611223956,2.9660336923800994,0.05928549683277105,-0.21816445875761906,-0.3865665324597309,-0.6215120085724313,-1.0311414767812828,0.057116636424374735,-0.6630227870661942
b0002,thrA,CDS,3.2933595589985964,2.6438168666127115,-0.40617099833676573,-0.40846492111810395,-0.3013031318761051,-0.42005977793527044,-0.4003439071335962,-0.4062962412472411,-0.11012312490152831,-0.12322089664439916,-0.24464719421632886,-0.29497506903103404,-0.36735228782153345,-0.3600156899605293,-0.39930241345701156,-0.39459591671599004,-0.3871143007481197,-0.4301385363624721,-0.3722631282585937,-0.1107888898466868
b0003,thrB,CDS,3.1418215704740398,2.7935374772184423,-0.48637466222637005,-0.48922646577741763,-0.2485047745429423,-0.4667414250132309,-0.41435145339459395,-0.3860154478980148,-0.0724037382417792,-0.10868838767851231,-0.25301218441085943,-0.2989530926800151,-0.31841296797515733,-0.37970507408293075,-0.41624109830075917,-0.3960357667582306,-0.34679231395123566,-0.49396791423463055,-0.37199913682797237,0.012066856302168071
b0004,thrC,CDS,3.1132762637647793,2.7852881561806506,-0.5459998265850955,-0.5124570878618847,-0.18781748087318836,-0.49568159473107304,-0.3797706898832722,-0.4417674361292462,-0.12936717614454418,-0.12885582876297572,-0.27532386342870047,-0.31045837706550355,-0.30366240541369,-0.4642997110719096,-0.43052604127315164,-0.4219403537858484,-0.3544507469572191,-0.49492282119713266,-0.2566844266166875,0.2354214478356916
b0005,yaaX,CDS,1.5558786980323192,1.0375983169637601,-0.02555367067052183,-1.0096775301917367,2.1021171432918218,0.15946658524198903,0.16692206902624093,-0.547437535568136,-0.3086135383459422,0.40823122750985197,-0.8329825645049731,-1.031546949292208,-0.815462177611982,-0.8272666936037136,-1.1391544319115734,-0.8389469515323746,2.0880759821648147,-0.8085037260800138,0.10553858586923591,0.5613171612131519
b0006,yaaA,CDS,-0.4517365886418167,-0.3865102454349052,-0.47930030138178387,-0.3746781801112193,-0.7904002949910388,-0.5611915253262814,-0.685178238013921,-0.47763381330802535,-0.2572574304341884,-0.490365782191541,2.1192212222685214,3.200771982137851,-0.03661440946855024,-0.3396152710393384,0.892486021413343,0.7165382105859099,-0.8996219233451773,-0.5865221440474122,-0.12760465829576953,0.015213369625342123
b0007,yaaJ,CDS,-0.30707727772026516,-0.22970499473828196,-0.48381795405816214,-1.1155308081305142,0.22719666636230745,-0.7008848327482647,-0.016497082780447737,0.09174693405968343,-1.1002878895380537,-1.0240732965757509,-0.33196761314339684,-0.3543496201905544,-0.5806780190381012,-1.0518578570480839,1.499497997991229,1.4057251063971048,0.031740001372908395,-0.24417611998428865,2.5998823616975892,1.6851142978133435
b0008,talB,CDS,-0.9222881191453317,-1.019180926944144,0.6734721229340046,0.11837309283714717,-1.4586394097656914,-0.5777518877116272,-0.4942930279529222,-0.16738198992878628,-0.008675938922723234,-0.05122287517690454,-0.5584489759955058,-0.6225805208627206,1.9914266166235486,1.2366669064592106,0.862913973316117,0.8940707274672648,-1.606797188218918,-0.9094093433448475,0.9051070635274624,1.7146397008053702
b0009,mog,CDS,-1.6108665296489673,-2.2342647209518676,1.0825018276393412,1.1995426510454712,0.34194845941452495,-0.6830592793259217,-0.6881480107783621,-0.7078168154934132,0.42708465191659056,0.39832474269661816,-0.5738516717510764,-0.5560697000464808,1.1696963834255394,1.8342046636532114,0.8249205333332263,0.34903837739320653,0.2436616125971644,-1.1442470084875465,-0.22856123083773003,0.5559610642064869
b0010,satP,CDS,-0.8639910757214128,-0.9973672456138359,0.9424596842792037,0.1812634645129053,-0.2281186286659069,2.15405628563019,0.865361317893757,0.8531715011657637,-0.4779653832075512,-0.7908076869712339,0.08383390745339671,0.28300839464765243,-1.2248808322815654,0.4322669169922424,-1.1231803905290372,-1.0968432682554166,0.0967800266791121,2.2373385371440713,-0.3619396823805199,-0.9644458427718102
b0011,yaaW,CDS,0.4816691098210227,1.2157206586747678,-0.16763827648212765,-1.6333542146811506,-1.270505969394096,-1.123695659623347,-0.16883185623636124,-0.9052705645985739,-0.5698746536588953,0.10569148723739713,0.5914784472105261,1.0211671587346696,2.1753587810786885,-0.27267329485469616,0.3062128859486643,1.7552187075884151,-1.0556616136320243,-0.5006470279133388,-0.6223921628451796,0.6380280576256413
