Locus_tag,Gene_name,Gene_type,Poor_M9_ATC5.rep1Zs,Poor_M9_ATC5.rep2Zs,Rich_LB_ATC12.rep1Zs,Rich_LB_ATC12.rep2Zs,Rich_M9_ATC5_1.rep1Zs,Rich_M9_ATC5_1.rep2Zs,Rich_M9_ATC5_2.rep1Zs,Rich_M9_ATC5_2.rep2Zs,Rich_M9_ATC5_CAM1.2.rep1Zs,Rich_M9_ATC5_CAM1.2.rep2Zs,Rich_M9_ATC5_NOX.rep1Zs,Rich_M9_ATC5_NOX.rep2Zs,Rich_M9_ATC5_PH5.rep1Zs,Rich_M9_ATC5_PH5.rep2Zs,Rich_M9_ATC5_TMP.rep1Zs,Rich_M9_ATC5_TMP.rep2Zs,Rich_M9_No_ATC_1.rep1Zs,Rich_M9_No_ATC_1.rep2Zs,Rich_M9_No_ATC_2.rep1Zs,Rich_M9_No_ATC_2.rep2Zs,MinZs,MaxZs,MeanZs,MedianZs,Variance_Zs,Std_DevZs,RangeZs,SkewnessZs,KurtosisZs,Coeff_of_VariationZs,IQRZs,MADZs
b0001,thrL,CDS,-0.037138062,-0.320057694,1.5251327021742425,-0.031054884,-0.41705155,-0.996353301,-0.934812967,-1.171668078,0.1119516489808733,-0.38310154,1.2675222027498976,1.2246029611223956,2.9660336923800994,0.059285497,-0.218164459,-0.386566532,-0.621512009,-1.031141477,0.057116636,-0.663022787,-1.171668078,2.9660336923800994,-2.22E-16,-0.269111076,1.0526315789473688,1.0259783520851542,4.137701770044826,1.4121641394694775,1.6413910984441182,-4.6206E+15,0.7043417380656686,0.7211645340664655
b0002,thrA,CDS,3.2933595589985964,2.6438168666127115,-0.406170998,-0.408464921,-0.301303132,-0.420059778,-0.400343907,-0.406296241,-0.110123125,-0.123220897,-0.244647194,-0.294975069,-0.367352288,-0.36001569,-0.399302413,-0.394595917,-0.387114301,-0.430138536,-0.372263128,-0.11078889,-0.430138536,3.2933595589985964,-5.97E-17,-0.369807708,1.0526315789473684,1.025978352085154,3.7234980953610686,2.6688445831195677,5.340844910133459,-1.72E+16,0.18751006011104218,0.5937176425611308
b0003,thrB,CDS,3.14182157,2.7935374772184423,-0.486374662,-0.489226466,-0.248504775,-0.466741425,-0.414351453,-0.386015448,-0.072403738,-0.108688388,-0.253012184,-0.298953093,-0.318412968,-0.379705074,-0.416241098,-0.396035767,-0.346792314,-0.493967914,-0.371999137,0.012066856,-0.493967914,3.14182157,-7.91E-17,-0.359395725,1.052631578947369,1.0259783520851544,3.6357894847086705,2.5928011192731235,4.9372435409563575,-1.30E+16,0.20127318679430037,0.59474259
b0004,thrC,CDS,3.1132762637647797,2.7852881561806506,-0.545999827,-0.512457088,-0.187817481,-0.495681595,-0.37977069,-0.441767436,-0.129367176,-0.128855829,-0.275323863,-0.310458377,-0.303662405,-0.464299711,-0.430526041,-0.421940354,-0.354450747,-0.494922821,-0.256684427,0.2354214478356916,-0.545999827,3.1132762637647797,-9.71E-18,-0.332454562,1.0526315789473686,1.0259783520851542,3.6592760903498753,2.535435122227334,4.731321371588603,-1.06E+17,0.2741956001738848,0.6133985867781122
b0005,yaaX,CDS,1.5558786980323192,1.037598317,-0.025553671,-1.00967753,2.1021171432918218,0.159466585,0.1669220690262409,-0.547437536,-0.308613538,0.4082312275098519,-0.832982565,-1.031546949,-0.815462178,-0.827266694,-1.139154432,-0.838946952,2.0880759821648147,-0.808503726,0.1055385858692359,0.5613171612131519,-1.139154432,2.1021171432918218,4.884981308350689e-16,-0.167083605,1.0526315789473684,1.025978352085154,3.2412715752033954,0.8463689783385281,-0.402319412,2100270783700406.8,1.2751983722647053,0.8185145769313179
b0006,yaaA,CDS,-0.451736589,-0.386510245,-0.479300301,-0.37467818,-0.790400295,-0.561191525,-0.685178238,-0.477633813,-0.25725743,-0.490365782,2.1192212222685214,3.200771982137851,-0.036614409,-0.339615271,0.892486021,0.7165382105859099,-0.899621923,-0.586522144,-0.127604658,0.01521337,-0.899621923,3.200771982137851,-5.77E-17,-0.380594213,1.0526315789473681,1.025978352085154,4.1003939054830285,2.043412876791878,3.3887166593568985,-1.78E+16,0.48441475328014894,0.6944230806030969
b0007,yaaJ,CDS,-0.307077278,-0.229704995,-0.483817954,-1.115530808,0.2271966663623074,-0.700884833,-0.016497083,0.091746934,-1.10028789,-1.024073297,-0.331967613,-0.35434962,-0.580678019,-1.051857857,1.499497997991229,1.4057251063971048,0.031740001,-0.24417612,2.599882361697589,1.6851142978133435,-1.115530808,2.599882361697589,-1.11E-17,-0.275626699,1.0526315789473681,1.025978352085154,3.715413169828103,1.1386292587831404,0.42535479321388436,-9.24E+16,0.7363390896009815,0.7540903365694166
b0008,talB,CDS,-0.922288119,-1.019180927,0.6734721229340046,0.1183730928371471,-1.45863941,-0.577751888,-0.494293028,-0.16738199,-0.008675939,-0.051222875,-0.558448976,-0.622580521,1.9914266166235488,1.2366669064592106,0.862913973,0.8940707274672648,-1.606797188,-0.909409343,0.9051070635274624,1.7146397008053702,-1.606797188,1.9914266166235488,1.3322676295501878e-16,-0.109302433,1.0526315789473681,1.025978352085154,3.598223804842467,0.3327322304247807,-0.856065715,7700992873568159.0,1.5649908883371562,0.8396670203970125
b0009,mog,CDS,-1.61086653,-2.234264721,1.0825018276393412,1.1995426510454712,0.3419484594145249,-0.683059279,-0.688148011,-0.707816815,0.4270846519165905,0.3983247426966181,-0.573851672,-0.5560697,1.1696963834255394,1.8342046636532117,0.8249205333332263,0.3490383773932065,0.2436616125971644,-1.144247008,-0.228561231,0.5559610642064869,-2.234264721,1.8342046636532117,7.660538869913581e-16,0.2928050360058446,1.0526315789473686,1.0259783520851542,4.068469385,-0.323328371,-0.422495837,1339303108446636.5,1.3075323936772034,0.8426884967321373
b0010,satP,CDS,-0.863991076,-0.997367246,0.9424596842792036,0.1812634645129053,-0.228118629,2.154056286,0.865361318,0.8531715011657637,-0.477965383,-0.790807687,0.083833907,0.2830083946476524,-1.224880832,0.4322669169922424,-1.123180391,-1.096843268,0.096780027,2.2373385371440717,-0.361939682,-0.964445843,-1.224880832,2.2373385371440717,2.2759572004815707e-16,-0.072142361,1.0526315789473684,1.025978352085154,3.462219369425637,0.7819889801108134,-0.166343843,4507898267454532.0,1.426597830519635,0.8129540036398291
